NO|First Name|Last Name|POS|CapHit|Goals|Assists
13|Charlie|Coyle|Forward|5250000|18|24
11|Trent|Frederic|Forward|2300000|15|29
39|Morgan|Geekie|Forward|2000000|8|15
94|Jakub|Lauko|Forward|787500|2|4
51|Matthew|Poitras|Forward|870000|5|10
62|Oskar|Steen|Forward|800000|1|0
18|Pavel|Zacha|Forward|4750000|10|20
70|Jesper|Boqvist|Forward|775000|1|2
74|Jake|DeBrusk|Forward|4000000|12|13
43|Danton|Heinen|Forward|775000|9|9
63|Brad|Marchand|Forward|6125000|24|23
88|David|Pastrnak|Forward|11250000|33|39
21|James|van Riemsdyk|Forward|1000000|8|24
