NO|First Name|Last Name|POS|CapHit|Goals|Assists
18|Jack|Drury|Forward|925000|8|14
24|Seth|Jarvis|Forward|894167|15|23
82|Jesperi|Kotkaniemi|Forward|4820000|9|9
88|Martin|Necas|Forward|3000000|13|18
11|Jordan|Staal|Forward|2900000|6|9
20|Sebastian|Aho|Forward|8460250|17|37
58|Michael|Bunting|Forward|4500000|10|21
71|Jesper|Fast|Forward|2400000|5|7
28|Brendan|Lemieux|Forward|800000|2|1
48|Jordan|Martinook|Forward|1800000|7|9
23|Stefan|Noesen|Forward|762500|11|16
37|Andrei|Svechnikov|Forward|7750000|11|19
86|Teuvo|Teravainen|Forward|5400000|16|13
