NO|First Name|Last Name|POS|CapHit|Goals|Assists
22|Oliver|Bjorkstrand|Forward|5400000|20|25
95|Andre|Burakovsky|Forward|5500000|13|26
7|Jordan|Eberle|Forward|5500000|20|43
37|Yanni|Gourde|Forward|5166666|14|34
52|Tye|Kartye|Forward|859167|8|7
19|Jared|McCann|Forward|5000000|40|30
17|Jaden|Schwartz|Forward|5500000|21|19
94|Devin|Shore|Forward|775000|1|3
13|Brandon|Tanev|Forward|3500000|16|19
90|Tomas|Tatar|Forward|1500000|6|12
20|Eeli|Tolvanen|Forward|1450000|16|11
21|Alex|Wennberg|Forward|4500000|13|25
56|Kailer|Yamamoto|Forward|1500000|7|5
